#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         731        0.12   0.0223256  0.00835585
         732        0.28   0.0226776  0.00835185
         733         0.2   0.0229195  0.00834396
         734         0.2   0.0231608  0.00833608
         735        0.36    0.023619  0.00833732
         736        0.16   0.0238043  0.00832806
         737        0.24   0.0240977  0.00832192
         738        0.36   0.0245528  0.00832308
         739        0.16   0.0247361  0.00831384
         740        0.16   0.0249189  0.00830461
         741           0   0.0248853  0.00829347
         742        -0.2   0.0245822  0.00828783
         743       -0.24   0.0242261  0.00828432
         744        0.08   0.0243011  0.00827353
         745       -0.08   0.0241611  0.00826361
         746        -0.2   0.0238606  0.00825799
         747        -0.2   0.0235609  0.00825237
         748       -0.12    0.023369  0.00824357
         749        0.04   0.0233912  0.00823259
         750       -0.04   0.0233067  0.00822205
         751       -0.04   0.0232224  0.00821154
         752       -0.28   0.0228191  0.00821051
         753       -0.24   0.0224701  0.00820702
         754        -0.2   0.0221751  0.00820144
         755        -0.2   0.0218808  0.00819585
         756        -0.4   0.0213228  0.00820399
         757        -0.2   0.0210304  0.00819836
         758       -0.16   0.0207916  0.00819102
         759         0.2   0.0210277  0.00818363
         760         0.2   0.0212632  0.00817625
         761        0.12   0.0213929  0.00816654
         762        0.12   0.0215223  0.00815684
         763       -0.04   0.0214417  0.00814655
         764       -0.16   0.0212042  0.00813935
         765       -0.24   0.0208627  0.00813587
         766           0   0.0208355  0.00812529
         767        0.12   0.0209648  0.00811573
         768        0.16   0.0211458  0.00810718
         769        0.12   0.0212744  0.00809766
         770        0.08   0.0213506   0.0080875
         771        0.16   0.0215305  0.00807901
         772       -0.12   0.0213472  0.00807062
         773        -0.4   0.0208021  0.00807857
         774        -0.4   0.0202584  0.00808641
         775       -0.28    0.019871  0.00808525
         776       -0.24   0.0195361  0.00808176
         777       -0.32   0.0190991  0.00808316
         778       -0.04   0.0190231  0.00807313
         779       -0.08    0.018896  0.00806377
         780        -0.2   0.0186154  0.00805831
         781       -0.08   0.0184891  0.00804898
         782           0   0.0184655  0.00803873
         783       -0.04   0.0183908  0.00802881
         784        -0.2   0.0181122   0.0080234
         785       -0.24   0.0177834  0.00801991
         786        -0.2   0.0175064  0.00801449
         787        0.16   0.0176874  0.00800635
         788        0.16    0.017868  0.00799823
         789        0.04   0.0178961  0.00798814
         790         0.2   0.0181266  0.00798135
         791       -0.12    0.017952  0.00797317
         792           0   0.0179293  0.00796314
         793       -0.12   0.0177554    0.007955
         794           0    0.017733  0.00794501
         795       -0.08   0.0176101  0.00793597
         796       -0.24   0.0172864  0.00793259
         797        -0.4   0.0167629   0.0079399
         798        -0.4   0.0162406  0.00794711
         799       -0.44   0.0156696  0.00795765
         800       -0.24     0.01535  0.00795412
         801        0.08   0.0154307   0.0079446
         802        0.12   0.0155611  0.00793576
         803       -0.04   0.0154919  0.00792618
         804       -0.04   0.0154229  0.00791662
         805        0.12   0.0155528  0.00790785
         806        0.16    0.015732  0.00790007
         807       -0.08   0.0156134  0.00789117
         808        0.04   0.0156436  0.00788146
         809        0.08   0.0157231  0.00787212
         810       -0.16   0.0155062  0.00786539
         811       -0.24   0.0151911    0.007862
         812        0.04   0.0152217  0.00785238
         813        0.08   0.0153014  0.00784313
         814        0.04   0.0153317  0.00783355
         815       -0.12   0.0151656   0.0078257
         816       -0.08    0.015049  0.00781698
         817       -0.24   0.0147368  0.00781364
         818       -0.28   0.0143765  0.00781239
         819        0.04   0.0144078  0.00780291
         820        0.12   0.0145366  0.00779446
         821       -0.08   0.0144214  0.00778582
         822           0   0.0144039  0.00777636
         823        0.04    0.014435  0.00776698
         824       -0.08   0.0143204   0.0077584
         825       -0.08   0.0142061  0.00774984
         826       -0.04   0.0141404  0.00774073
         827        0.04   0.0141717  0.00773143
         828       -0.04   0.0141063  0.00772237
         829        0.04   0.0141375  0.00771312
         830        0.36   0.0145542  0.00771508
         831        0.24   0.0148255  0.00771056
         832        0.24   0.0150962  0.00770604
         833         0.4   0.0155582  0.00771063
         834        0.32   0.0159233  0.00771002
         835         0.2   0.0161437  0.00770394
         836         0.2   0.0163636  0.00769786
         837        0.32   0.0167264  0.00769721
         838        0.32   0.0170883  0.00769653
         839        0.08   0.0171633  0.00768772
         840        0.08   0.0172381  0.00767893
         841        0.12   0.0173603  0.00767077
         842        0.32   0.0177197  0.00767008
         843         0.2   0.0179359  0.00766403
         844        0.36   0.0183412  0.00766565
         845         0.4   0.0187929  0.00766988
         846        0.32   0.0191489  0.00766907
         847        0.52   0.0197403  0.00768278
         848        0.36   0.0201415  0.00768419
         849        0.32   0.0204947  0.00768325
         850        0.32   0.0208471  0.00768229
         851        0.08   0.0209166  0.00767358
         852       -0.08   0.0207981  0.00766548
         853        0.08   0.0208675  0.00765681
         854        0.16   0.0210304  0.00764958
         855        0.16    0.021193  0.00764236
         856        0.44   0.0216822  0.00764908
         857         0.2   0.0218903  0.00764298
         858        0.24   0.0221445   0.0076383
         859        0.32   0.0224913  0.00763727
         860        0.36   0.0228837  0.00763847
         861        0.04   0.0229036  0.00762962
         862        0.32   0.0232483  0.00762855
         863        0.16   0.0234067  0.00762136
         864        0.28   0.0237037  0.00761832
         865        0.12    0.023815  0.00761033
         866        0.04   0.0238337  0.00760156
         867       -0.12   0.0236678   0.0075946
         868       -0.28    0.023318  0.00759391
         869           0   0.0232911  0.00758522
         870       -0.08   0.0231724  0.00757743
         871       -0.16   0.0229621  0.00757165
         872       -0.28   0.0226147  0.00757093
         873        -0.4   0.0221306  0.00757772
         874       -0.24   0.0218307  0.00757498
         875       -0.16   0.0216229  0.00756917
         876        -0.2   0.0213699  0.00756476
         877       -0.36    0.020935  0.00756862
         878       -0.28   0.0205923  0.00756776
         879       -0.32   0.0202048  0.00756906
         880       -0.28   0.0198636  0.00756815
         881       -0.44   0.0193417  0.00757754
         882        -0.2    0.019093  0.00757302
         883       -0.36   0.0186636  0.00757661
         884       -0.36   0.0182353  0.00758013
         885       -0.32   0.0178531   0.0075812
         886       -0.04   0.0177878  0.00757292
         887        0.12    0.017903  0.00756526
         888        0.04   0.0179279  0.00755678
         889       -0.24   0.0176378  0.00755385
         890        -0.2   0.0173933  0.00754932
         891       -0.12   0.0172391  0.00754242
         892        -0.2   0.0169955   0.0075379
         893       -0.28   0.0166629  0.00753679
         894       -0.36   0.0162416  0.00754013
         895       -0.04   0.0161788  0.00753196
         896       -0.08   0.0160714  0.00752432
         897        0.04   0.0160981  0.00751598
         898        0.16   0.0162584  0.00750932
         899        0.04   0.0162848  0.00750101
         900        0.04   0.0163111  0.00749273
         901         0.2    0.016515  0.00748718
         902        0.36   0.0168958  0.00748856
         903        0.36   0.0172757   0.0074899
         904        0.36   0.0176549   0.0074912
         905        0.32    0.017989  0.00749037
         906        0.16   0.0181457  0.00748374
         907        0.32   0.0184785  0.00748289
         908        0.36   0.0188546  0.00748409
         909        0.48   0.0193619  0.00749304
         910        0.48   0.0198681  0.00750188
         911         0.6   0.0205049  0.00752063
         912         0.4   0.0209211  0.00752388
         913        0.08   0.0209858  0.00751592
         914        0.24   0.0212254  0.00751151
         915        0.08   0.0212896  0.00750358
         916        0.16    0.021441  0.00749692
         917         0.2   0.0216358  0.00749127
         918        0.24   0.0218736  0.00748688
         919        0.12   0.0219804   0.0074795
